シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
レザー,レザーグラブ,1,0,0,0,1,2,38,2,0,0,0,0,,,,,,,,,,
チェーン,チェーングラブ,1,0,0,0,1,2,38,0,2,0,0,0,,,,,,,,,,
ハンター,ハンターアーム,1,0,0,0,1,6,42,2,2,0,0,0,潜伏,1,,,,,,,,
ボーン,ボーンアーム,1,0,0,0,1,6,42,2,0,2,0,2,ＫＯ術,1,,,,,,,,
ランゴ,ランゴアーム,1,0,0,0,3,8,44,-2,1,1,1,2,麻痺属性強化,1,,,,,,,,
ケスト,ケストガード,1,0,0,0,1,12,48,4,0,0,0,0,滑走強化,1,,,,,,,,
ジャグラス,ジャグラスアーム,1,0,0,0,2,8,44,-2,2,-1,-1,1,オトモへの采配,1,,,,,,,,
クルル,クルルアーム,1,0,0,0,2,10,46,0,-3,0,1,0,運搬の達人,1,,,,,,,,
アロイ,アロイアーム,2,0,0,0,3,8,40,-2,1,-2,-2,1,防御,1,,,,,,,,
プケプケ,プケプケアーム,2,0,0,0,2,12,44,0,3,-3,0,1,毒耐性,1,,,,,,,,
ボロス,ボロスアーム,2,0,0,0,3,14,38,-3,-1,3,-1,0,ランナー,1,,,,,,,,
ジュラ,ジュラアーム,2,0,0,0,3,14,46,-1,2,-3,0,0,水属性攻撃強化,1,,,,,,,,
カガチ,カガチアーム,2,0,0,0,4,16,48,0,-3,3,0,0,回避距離ＵＰ,1,,,,,,,,
ハイメタ,ハイメタアーム,3,0,0,0,6,18,46,0,-1,-2,3,0,防御,1,,,,,,,,
オウビート,オウビートマーノ,3,0,0,0,6,22,50,-1,-1,2,0,2,飛び込み,1,,,,,,,,
パピメル,パピメルマーノ,3,0,0,0,6,22,50,-1,-1,2,0,2,飛び込み,1,,,,,,,,
タロス,タロスアーム,3,0,0,0,8,18,46,-1,-1,0,0,2,満足感,1,,,,,,,,
ジャナフ,ジャナフアーム,3,0,0,0,4,20,48,3,-3,-1,-1,0,特殊射撃強化,1,蛮顎竜の力,1,,,,,,
レイア,レイアアーム,3,0,0,0,5,22,50,2,0,-2,0,-3,毒属性強化,1,,,,,,,,
ツィツィ,ツィツィアーム,3,0,0,0,6,18,46,0,0,-3,-2,0,気絶耐性,1,,,,,,,,
ウルムー,ウルムーアーム,3,0,0,0,6,20,48,-3,2,0,1,0,砲術,1,,,,,,,,
ギルオス,ギルオスアーム,3,0,0,0,8,20,48,0,-3,2,0,1,オトモへの采配,1,,,,,,,,
バルキン,バルキンアーム,3,0,0,0,8,24,52,0,2,0,-1,-2,睡眠属性強化,1,,,,,,,,
インゴット,インゴットアーム,4,0,0,0,8,28,52,-2,0,3,-1,0,体力増強,1,,,,,,,,
デスギア,デスギアファオスト,4,0,0,0,8,32,56,3,2,-2,3,-4,集中,1,,,,,,,,
ブリゲイド,ブリゲイドアーム,4,0,0,0,8,28,52,1,0,2,0,2,砲撃手,1,,,,,,,,
ギエナ,ギエナアーム,4,0,0,0,8,30,54,-1,2,-3,3,0,飛燕,1,風漂竜の恩恵,1,,,,,,
ガロン,ガロンアーム,4,0,0,0,8,30,54,2,2,-2,-3,0,体術,1,惨爪竜の力,1,,,,,,
レウス,レウスアーム,4,0,0,0,8,30,54,3,1,-2,1,-3,火耐性,1,火竜の力,1,,,,,,
ディアブロ,ディアブロアーム,4,0,0,0,8,32,56,3,-2,0,-3,2,火事場力,1,角竜の力,1,,,,,,
キリン,キリンアームロング,4,0,0,0,8,34,58,-3,-2,4,-2,2,属性やられ耐性,1,幻獣の恩恵,1,,,,,,
ブロッサム,ブロッサムカフス,3,0,0,0,3,18,46,1,1,4,1,1,麻痺耐性,1,,,,,,,,
ダイバー,ダイバーアーム,3,0,0,0,3,22,50,1,4,1,1,1,納刀術,1,,,,,,,,
ハーベスト,ハーベストラーマ,3,0,0,0,6,26,54,4,1,1,1,1,逆恨み,1,,,,,,,,
オリオン,オリオンアーム,4,0,0,0,8,30,54,1,1,1,4,1,風圧耐性,1,,,,,,,,
フルドレス,フルドレスカフス,4,0,0,0,8,34,58,1,1,1,1,4,渾身,1,アステラの祝福,1,,,,,,
パピオム,パピオムマーノ,3,0,0,0,4,22,50,-1,-1,2,0,2,見切り,1,,,,,,,,
クインビート,クインビートマーノ,3,0,0,0,4,22,50,-1,-1,2,0,2,見切り,1,,,,,,,,
レザーα,レザーグラブα,5,0,0,0,11,32,54,2,0,0,0,0,回復速度,1,,,,,,,,
レザーβ,レザーグラブβ,5,1,0,0,11,32,54,2,0,0,0,0,,,,,,,,,,
チェーンα,チェーングラブα,5,0,0,0,11,32,54,0,2,0,0,0,回復速度,1,,,,,,,,
チェーンβ,チェーングラブβ,5,1,0,0,11,32,54,0,2,0,0,0,,,,,,,,,,
ハンターα,ハンターアームα,5,0,0,0,11,36,58,2,2,0,0,0,潜伏,2,,,,,,,,
ハンターβ,ハンターアームβ,5,1,0,0,11,36,58,2,2,0,0,0,潜伏,1,,,,,,,,
ボーンα,ボーンアームα,5,0,0,0,11,36,58,2,0,2,0,2,ＫＯ術,1,攻撃,1,,,,,,
ボーンβ,ボーンアームβ,5,1,0,0,11,36,58,2,0,2,0,2,ＫＯ術,1,,,,,,,,
アロイα,アロイアームα,5,0,0,0,11,36,58,-2,0,-2,-2,0,防御,1,砥石使用高速化,1,,,,,,
アロイβ,アロイアームβ,5,1,0,0,11,36,58,-2,0,-2,-2,0,防御,1,,,,,,,,
オウビートα,オウビートマーノα,5,1,0,0,11,42,64,-1,-1,2,0,2,植生学,2,飛び込み,1,,,,,,
オウビートβ,オウビートマーノβ,5,2,1,0,11,42,64,-1,-1,2,0,2,植生学,2,,,,,,,,
パピメルα,パピメルマーノα,5,1,0,0,11,42,64,-1,-1,2,0,2,植生学,2,飛び込み,1,,,,,,
パピメルβ,パピメルマーノβ,5,2,1,0,11,42,64,-1,-1,2,0,2,植生学,2,,,,,,,,
