シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
レザー,レザーヘッド,1,0,0,0,1,2,38,2,0,0,0,0,腹減り耐性,1,,,,,,,,
チェーン,チェーンヘッド,1,0,0,0,1,2,38,0,2,0,0,0,採集の達人,1,,,,,,,,
ハンター,ハンターヘルム,1,0,0,0,1,6,42,2,2,0,0,0,導蟲反応距離ＵＰ,1,,,,,,,,
ボーン,ボーンヘルム,1,0,0,0,1,6,42,2,0,2,0,2,体力増強,1,,,,,,,,
ランゴ,ランゴヘルム,1,0,0,0,3,8,44,-2,1,1,1,2,納刀術,1,,,,,,,,
ジャグラス,ジャグラスヘルム,1,0,0,0,2,8,44,-2,2,-1,-1,1,早食い,1,,,,,,,,
クルル,クルルヘルム,1,0,0,0,2,10,46,0,-3,0,1,0,火耐性,1,,,,,,,,
アロイ,アロイヘルム,2,0,0,0,3,8,40,-2,1,-2,-2,1,風圧耐性,1,,,,,,,,
プケプケ,プケプケヘルム,2,0,0,0,2,12,44,0,3,-3,0,1,環境利用の知識,1,,,,,,,,
ボロス,ボロスヘルム,2,0,0,0,3,14,38,-3,-1,3,-1,0,ガード性能,1,,,,,,,,
ジュラ,ジュラヘルム,2,0,0,0,3,14,46,-1,2,-3,0,0,水場・深雪適応,1,,,,,,,,
カガチ,カガチヘルム,2,0,0,0,4,16,48,0,-3,3,0,0,体術,1,,,,,,,,
ハイメタ,ハイメタヘルム,3,0,0,0,6,18,46,0,-1,-2,3,0,氷耐性,1,,,,,,,,
オウビート,オウビートテスタ,3,0,0,0,6,22,50,-1,-1,2,0,2,回避性能,1,,,,,,,,
パピメル,パピメルテスタ,3,0,0,0,6,22,50,-1,-1,2,0,2,回避性能,1,,,,,,,,
シャム,シャムゴーグル,3,0,0,0,6,22,50,2,2,0,-3,0,感知,1,,,,,,,,
タロス,タロスヘルム,3,0,0,0,8,18,46,-1,-1,0,0,2,こやし名人,1,,,,,,,,
ジャナフ,ジャナフヘルム,3,0,0,0,5,20,48,3,-3,-1,-1,0,火属性攻撃強化,1,蛮顎竜の力,1,,,,,,
レイア,レイアヘルム,3,0,0,0,5,22,50,2,0,-2,0,-3,体力増強,1,,,,,,,,
ツィツィ,ツィツィヘルム,3,0,0,0,6,18,46,0,0,-3,-2,0,閃光強化,1,,,,,,,,
ウルムー,ウルムーヘルム,3,0,0,0,6,20,48,-3,2,0,1,0,スタミナ急速回復,1,,,,,,,,
ギルオス,ギルオスヘルム,3,0,0,0,8,20,48,0,-3,2,0,1,笛吹き名人,1,,,,,,,,
バルキン,バルキンヘルム,3,0,0,0,8,24,52,0,2,0,-1,-2,ＫＯ術,1,,,,,,,,
インゴット,インゴットヘルム,4,0,0,0,8,28,52,-2,0,3,-1,0,雷属性攻撃強化,1,,,,,,,,
デスギア,デスギアゲヒル,4,0,0,0,8,32,56,3,2,-2,3,-4,死中に活,1,,,,,,,,
ブリゲイド,ブリゲイドロポス,4,0,0,0,8,28,52,1,0,2,0,2,回復速度,1,,,,,,,,
ギエナ,ギエナヘルム,4,0,0,0,8,30,54,-1,2,-3,3,0,精霊の加護,1,風漂竜の恩恵,1,,,,,,
ガロン,ガロンヘルム,4,0,0,0,8,30,54,2,2,-2,-3,0,裂傷耐性,1,惨爪竜の力,1,,,,,,
レウス,レウスヘルム,4,0,0,0,8,30,54,3,1,-2,1,-3,攻撃,1,火竜の力,1,,,,,,
ディアブロ,ディアブロヘルム,4,0,0,0,8,32,56,3,-2,0,-3,2,抜刀術【技】,1,角竜の力,1,,,,,,
キリン,キリンホーン,4,0,0,0,8,34,58,-3,-2,4,-2,2,ランナー,1,幻獣の恩恵,1,,,,,,
ブロッサム,ブロッサムヘッド,3,0,0,0,3,18,46,1,1,4,1,1,ハニーハンター,1,,,,,,,,
ダイバー,ダイバーシュノ,3,0,0,0,6,22,50,1,4,1,1,1,ランナー,1,,,,,,,,
ハーベスト,ハーベストフロール,3,0,0,0,6,26,54,4,1,1,1,1,集中,1,,,,,,,,
オリオン,オリオンヘッド,4,0,0,0,8,30,54,1,1,1,4,1,体力回復量ＵＰ,1,,,,,,,,
フルドレス,フルドレスハット,4,0,0,0,8,34,58,1,1,1,1,4,超会心,1,アステラの祝福,1,,,,,,
パピオム,パピオムテスタ,3,0,0,0,4,22,50,-1,-1,2,0,2,気絶耐性,1,,,,,,,,
クインビート,クインビートテスタ,3,0,0,0,4,22,50,-1,-1,2,0,2,気絶耐性,1,,,,,,,,
レザーα,レザーヘッドα,5,0,0,0,11,32,54,2,0,0,0,0,腹減り耐性,2,,,,,,,,
レザーβ,レザーヘッドβ,5,1,0,0,11,32,54,2,0,0,0,0,腹減り耐性,1,,,,,,,,
チェーンα,チェーンヘッドα,5,0,0,0,11,32,54,0,2,0,0,0,採集の達人,1,ガード性能,1,,,,,,
チェーンβ,チェーンヘッドβ,5,1,0,0,11,32,54,0,2,0,0,0,採集の達人,1,,,,,,,,
ハンターα,ハンターヘルムα,5,0,0,0,11,36,58,2,2,0,0,0,導蟲反応距離ＵＰ,1,研究者,1,,,,,,
ハンターβ,ハンターヘルムβ,5,1,0,0,11,36,58,2,2,0,0,0,導蟲反応距離ＵＰ,1,,,,,,,,
ボーンα,ボーンヘルムα,5,0,0,0,11,36,58,2,0,2,0,2,体力増強,1,昆虫標本の達人,1,,,,,,
ボーンβ,ボーンヘルムβ,5,1,0,0,11,36,58,2,0,2,0,2,体力増強,1,,,,,,,,
アロイα,アロイヘルムα,5,0,0,0,11,36,58,-2,0,-2,-2,0,風圧耐性,1,防御,1,,,,,,
アロイβ,アロイヘルムβ,5,1,0,0,11,36,58,-2,0,-2,-2,0,風圧耐性,1,,,,,,,,
オウビートα,オウビートテスタα,5,0,0,0,11,42,64,-1,-1,2,0,2,回避性能,2,植生学,1,,,,,,
オウビートβ,オウビートテスタβ,5,1,0,0,11,42,64,-1,-1,2,0,2,回避性能,2,,,,,,,,
パピメルα,パピメルテスタα,5,0,0,0,11,42,64,-1,-1,2,0,2,回避性能,2,植生学,1,,,,,,
パピメルβ,パピメルテスタβ,5,1,0,0,11,42,64,-1,-1,2,0,2,回避性能,2,,,,,,,,
ランゴα,ランゴヘルムα,5,0,0,0,11,38,60,-2,1,1,1,2,納刀術,1,麻痺属性強化,1,,,,,,
ランゴβ,ランゴヘルムβ,5,1,0,0,11,38,60,-2,1,1,1,2,納刀術,1,,,,,,,,
タロスα,タロスヘルムα,5,0,0,0,11,38,60,-1,-1,0,0,2,こやし名人,1,龍属性攻撃強化,1,,,,,,
タロスβ,タロスヘルムβ,5,1,0,0,11,38,60,-1,-1,0,0,2,こやし名人,1,,,,,,,,
モスα,モスフェイクα,5,0,0,0,11,40,62,2,2,2,2,2,キノコ大好き,2,,,,,,,,
シャムα,シャムゴーグルα,5,0,0,0,11,40,62,2,2,0,-3,0,感知,1,地質学,1,,,,,,
シャムβ,シャムゴーグルβ,5,1,0,0,11,40,62,2,2,0,-3,0,感知,1,,,,,,,,
ジャグラスα,ジャグラスヘルムα,5,0,0,0,11,40,62,-2,2,-1,-1,1,早食い,2,,,,,,,,
