名前,発動スキル1,発動スキル2,上限1,上限2,カテゴリ
アイテム使用強化,,,3,0,アイテム
悪臭耐性,,,,,アイテム
キノコ大好き,,,,,アイテム
広域化,,,,,アイテム
整備,,,,,アイテム
閃光強化,,,,,アイテム
砥石使用高速化,,,,,アイテム
ボマー,,,,,アイテム
満足感,,,,,アイテム
スタミナ急速回復,,,,,スタミナ
体術,,,,,スタミナ
腹減り耐性,,,,,スタミナ
ランナー,,,,,スタミナ
回復速度,,,,,体力
環境利用の知識,,,,,体力
体力回復量ＵＰ,,,,,体力
会心撃【属性】,,,,,属性強化
会心撃【特殊】,,,,,属性強化
雷属性攻撃強化,,,,,属性強化
氷属性攻撃強化,,,,,属性強化
睡眠属性強化,,,,,属性強化
チャージマスター,,,,,属性強化
毒属性強化,,,,,属性強化
爆破属性強化,,,,,属性強化
火属性攻撃強化,,,,,属性強化
麻痺属性強化,,,,,属性強化
水属性攻撃強化,,,,,属性強化
龍属性攻撃強化,,,,,属性強化
貫通弾・竜の矢強化,,,,,弾・矢強化
減気ビン追加,,,,,弾・矢強化
散弾・剛射強化,,,,,弾・矢強化
睡眠ビン追加,,,,,弾・矢強化
速射強化,,,,,弾・矢強化
弾道強化,,,,,弾・矢強化
通常弾・通常矢強化,,,,,弾・矢強化
特殊射撃強化,,,,,弾・矢強化
毒ビン追加,,,,,弾・矢強化
爆破ビン追加,,,,,弾・矢強化
ファーストショット,,,,,弾・矢強化
フォースショット,,,,,弾・矢強化
麻痺ビン追加,,,,,弾・矢強化
威嚇,,,,,戦闘（快適）
ガード強化,,,,,戦闘（快適）
ガード性能,,,3,0,戦闘（快適）
回避距離ＵＰ,,,,,戦闘（快適）
回避性能,,,,,戦闘（快適）
緩衝,,,,,戦闘（快適）
クライマー,,,,,戦闘（快適）
ジャンプ鉄人,,,,,戦闘（快適）
耐震,,,,,戦闘（快適）
飛び込み,,,,,戦闘（快適）
納刀術,,,,,戦闘（快適）
早食い,,,,,戦闘（快適）
ひるみ軽減,,,,,戦闘（快適）
風圧耐性,,,,,戦闘（快適）
砲弾装填,,,,,戦闘（快適）
水場・油泥適応,,,,,戦闘（快適）
耳栓,,,,,戦闘（快適）
昆虫標本の達人,,,,,採集
植生学,,,,,採集
地質学,,,,,採集
ハンター生活,,,,,採集
剛刃研磨,,,,,斬れ味
心眼,,,,,斬れ味
匠,,,,,斬れ味
達人芸,,,,,斬れ味
鈍器使い,,,,,斬れ味
業物,,,,,斬れ味
雷耐性,,,,,防御・耐性
環境適応,,,,,防御・耐性
気絶耐性,,,,,防御・耐性
拘束耐性,,,,,防御・耐性
氷耐性,,,,,防御・耐性
睡眠耐性,,,,,防御・耐性
精霊の加護,,,,,防御・耐性
属性やられ耐性,,,,,防御・耐性
毒耐性,,,,,防御・耐性
爆破やられ耐性,,,,,防御・耐性
火耐性,,,,,防御・耐性
防御,,,,,防御・耐性
防御力ＤＯＷＮ耐性,,,,,防御・耐性
麻痺耐性,,,,,防御・耐性
水耐性,,,,,防御・耐性
龍耐性,,,,,防御・耐性
裂傷耐性,,,,,防御・耐性
オトモへの采配,,,,,戦闘（複合）
火事場力,,,,,戦闘（複合）
逆襲,,,,,
強化持続,,,,,戦闘（複合）
急襲,,,,,戦闘（複合）
ＫＯ術,,,,,戦闘（複合）
研鑽,,,1,0,戦闘（複合）
攻撃,,,5,0,
巧撃,,,,,
攻勢,,,,,戦闘（複合）
高速変形,,,,,戦闘（複合）
渾身,,,,,
災禍転福,,,,,戦闘（複合）
逆恨み,,,,,
鎖刃刺撃,,,,,戦闘（複合）
弱点特効,,,,,
集中,,,,,戦闘（複合）
スタミナ奪取,,,,,戦闘（複合）
攻めの守勢,,,,,
属性吸収,,,,,戦闘（複合）
属性変換,,,,,
溜打強化,,,,,戦闘（複合）
力の解放,,,,,戦闘（複合）
超会心,,,,,
挑戦者,,,,,戦闘（複合）
毒ダメージ強化,,,,,戦闘（複合）
破壊王,,,,,戦闘（複合）
抜刀術【力】,,,,,戦闘（複合）
抜刀術【技】,,,,,
飛燕,,,,,戦闘（複合）
笛吹き名人,,,,,戦闘（複合）
フルチャージ,,,,,
砲術,,,,,戦闘（複合）
見切り,,,,,
無我の境地,,,,,戦闘（複合）
連撃,,,,,戦闘（複合）
