シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
レザー,レザーベルト,1,0,0,0,1,2,38,2,0,0,0,0,,,,,,,,,,
チェーン,チェーンベルト,1,0,0,0,1,2,38,0,2,0,0,0,,,,,,,,,,
ハンター,ハンターコイル,1,0,0,0,1,6,42,2,2,0,0,0,追跡の達人,1,,,,,,,,
ボーン,ボーンコイル,1,0,0,0,1,6,42,2,0,2,0,2,笛吹き名人,1,,,,,,,,
ランゴ,ランゴコイル,1,0,0,0,3,8,44,-2,1,1,1,2,麻痺耐性,1,,,,,,,,
ジャグラス,ジャグラスコイル,1,0,0,0,2,8,44,-2,2,-1,-1,1,不屈,1,,,,,,,,
クルル,クルルコイル,1,0,0,0,2,10,46,0,-3,0,1,0,アイテム使用強化,1,,,,,,,,
アロイ,アロイコイル,2,0,0,0,3,8,40,-2,1,-2,-2,1,毒耐性,1,,,,,,,,
プケプケ,プケプケコイル,2,0,0,0,2,12,44,0,3,-3,0,1,毒属性強化,1,,,,,,,,
ボロス,ボロスコイル,2,0,0,0,3,14,38,-3,-1,3,-1,0,泥耐性,1,,,,,,,,
ジュラ,ジュラコイル,2,0,0,0,3,14,46,-1,2,-3,0,0,氷耐性,1,,,,,,,,
カガチ,カガチコイル,2,0,0,0,4,16,48,0,-3,3,0,0,雷属性攻撃強化,1,,,,,,,,
ハイメタ,ハイメタコイル,3,0,0,0,6,18,46,0,-1,-2,3,0,砲弾装填数ＵＰ,1,,,,,,,,
オウビート,オウビートアンカ,3,0,0,0,4,22,50,-1,-1,2,0,2,ハニーハンター,1,,,,,,,,
パピメル,パピメルアンカ,3,0,0,0,4,22,50,-1,-1,2,0,2,ハニーハンター,1,,,,,,,,
タロス,タロスコイル,3,0,0,0,8,18,46,-1,-1,0,0,2,剥ぎ取り鉄人,1,,,,,,,,
ジャナフ,ジャナフコイル,3,0,0,0,4,20,48,3,-3,-1,-1,0,火耐性,1,蛮顎竜の力,1,,,,,,
レイア,レイアコイル,3,0,0,0,5,22,50,2,0,-2,0,-3,毒耐性,1,,,,,,,,
ツィツィ,ツィツィコイル,3,0,0,0,6,18,46,0,0,-3,-2,0,広域化,1,,,,,,,,
ウルムー,ウルムーコイル,3,0,0,0,6,20,48,-3,2,0,1,0,精霊の加護,1,,,,,,,,
ギルオス,ギルオスコイル,3,0,0,0,8,20,48,0,-3,2,0,1,瘴気環境適応,1,,,,,,,,
バルキン,バルキンコイル,3,0,0,0,8,24,52,0,2,0,-1,-2,ガード性能,1,,,,,,,,
インゴット,インゴットコイル,4,0,0,0,8,28,52,-2,0,3,-1,0,風圧耐性,1,,,,,,,,
デスギア,デスギアナーベル,4,0,0,0,8,32,56,3,2,-2,3,-4,龍属性攻撃強化,1,,,,,,,,
ブリゲイド,ブリゲイドコイル,4,0,0,0,8,28,52,1,0,2,0,2,地質学,1,,,,,,,,
ギエナ,ギエナコイル,4,0,0,0,8,30,54,-1,2,-3,3,0,氷属性攻撃強化,1,風漂竜の恩恵,1,,,,,,
ガロン,ガロンコイル,4,0,0,0,8,30,54,2,2,-2,-3,0,見切り,1,惨爪竜の力,1,,,,,,
レウス,レウスコイル,4,0,0,0,8,30,54,3,1,-2,1,-3,火属性攻撃強化,1,火竜の力,1,,,,,,
ディアブロ,ディアブロコイル,4,0,0,0,8,32,56,3,-2,0,-3,2,ランナー,1,角竜の力,1,,,,,,
キリン,キリンフープ,4,0,0,0,8,34,58,-3,-2,4,-2,2,雷属性攻撃強化,1,幻獣の恩恵,1,,,,,,
ブロッサム,ブロッサムコート,3,0,0,0,3,18,46,1,1,4,1,1,導蟲反応距離ＵＰ,1,,,,,,,,
ダイバー,ダイバーベルト,3,0,0,0,3,22,50,1,4,1,1,1,水場・深雪適応,1,,,,,,,,
ハーベスト,ハーベストオッハ,3,0,0,0,6,26,54,4,1,1,1,1,体術,1,,,,,,,,
オリオン,オリオンコート,4,0,0,0,8,30,54,1,1,1,4,1,体力増強,1,,,,,,,,
フルドレス,フルドレスコート,4,0,0,0,8,34,58,1,1,1,1,4,スリンガー装填数ＵＰ,1,アステラの祝福,1,,,,,,
