シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
,ホープアームα,5,1,1,0,0,26,60,1,0,1,0,0,睡眠耐性,1,,,,,,,,
,レザーグラブα,5,1,0,0,0,26,60,2,0,0,0,0,植生学,1,腹減り耐性,1,,,,,,
,チェーングラブα,5,1,0,0,0,26,60,0,2,0,0,0,地質学,1,回復速度,1,,,,,,
,タリオスアームα,5,0,0,0,0,32,66,4,-2,-2,-2,2,革細工の柔性,1,飛び込み,1,連撃,1,,,,
,タリオスアームβ,5,2,1,0,0,32,66,4,-2,-2,-2,2,革細工の滑性,1,飛び込み,1,,,,,,
,ランゴアームα,5,0,0,0,0,32,66,-2,1,1,1,2,甲虫の知らせ,1,麻痺耐性,1,急襲,1,,,,
,ランゴアームβ,5,2,0,0,0,32,66,-2,1,1,1,2,甲虫の擬態,1,麻痺耐性,1,,,,,,
,クックアームα,5,1,0,0,0,36,70,3,0,-2,-4,2,鱗張りの技法,1,体術,1,挑戦者,1,,,,
,クックアームβ,5,2,1,1,0,36,70,3,0,-2,-4,2,鱗重ねの工夫,1,体術,1,,,,,,
,チャタアームα,5,1,0,0,0,36,70,1,2,-3,-1,1,革細工の柔性,1,アイテム使用強化,1,広域化,1,,,,
,チャタアームβ,5,2,0,0,0,36,70,1,2,-3,-1,1,革細工の滑性,1,アイテム使用強化,1,,,,,,
,ゲリョスアームα,5,0,0,0,0,36,70,-4,3,4,-1,1,革細工の柔性,1,逆恨み,2,毒耐性,1,,,,
,ゲリョスアームβ,5,1,0,0,0,36,70,-4,3,4,-1,1,革細工の滑性,1,逆恨み,2,,,,,,
,ボーンアームα,5,1,0,0,0,32,66,2,0,2,0,2,ランナー,1,早食い,1,,,,,,
,アロイアームα,5,1,1,0,0,32,66,-2,1,-2,-2,1,耐震,1,,,,,,,,
,トリスアームα,5,1,1,0,0,36,70,2,-3,0,-1,0,鱗張りの技法,1,ひるみ軽減,1,火耐性,1,,,,
,トリスアームβ,5,2,1,0,0,36,70,2,-3,0,-1,0,鱗重ねの工夫,1,ひるみ軽減,1,,,,,,
,ラバラアームα,5,0,0,0,0,36,70,-3,3,0,0,3,甲虫の知らせ,1,体力回復量ＵＰ,1,攻勢,1,,,,
,ラバラアームβ,5,2,1,0,0,36,70,-3,3,0,0,3,甲虫の擬態,1,体力回復量ＵＰ,1,,,,,,
,プポルアームα,5,1,0,0,0,36,70,0,-3,0,0,1,革細工の柔性,1,毒耐性,1,耳栓,1,,,,
,プポルアームβ,5,2,0,0,0,36,70,0,-3,0,0,1,革細工の滑性,1,耳栓,1,,,,,,
,コンガアームα,5,0,0,0,0,36,70,-3,1,1,-1,2,毛皮の昂揚,1,キノコ大好き,1,早食い,1,,,,
,コンガアームβ,5,1,0,0,0,36,70,-3,1,1,-1,2,毛皮の誘惑,1,キノコ大好き,1,,,,,,
,バーラアームα,5,0,0,0,0,38,72,-1,2,-3,1,1,鱗張りの技法,1,回避距離ＵＰ,1,スタミナ急速回復,1,,,,
,バーラアームβ,5,2,0,0,0,38,72,-1,2,-3,1,1,鱗重ねの工夫,1,回避距離ＵＰ,1,,,,,,
,レイアアームα,5,0,0,0,0,38,72,2,0,-2,0,-3,鱗張りの技法,1,攻勢,1,精霊の加護,2,,,,
,レイアアームβ,5,1,0,0,0,38,72,2,0,-2,0,-3,鱗重ねの工夫,1,攻勢,1,精霊の加護,1,,,,
,スキュラアームα,5,1,0,0,0,38,72,-2,2,-2,1,2,甲虫の知らせ,1,急襲,1,毒耐性,1,,,,
,スキュラアームβ,5,2,0,0,0,38,72,-2,2,-2,1,2,甲虫の擬態,1,急襲,1,,,,,,
,ヒラバミアームα,5,0,0,0,0,38,72,-3,2,-2,3,0,鱗張りの技法,1,回避性能,1,フルチャージ,1,,,,
,ヒラバミアームβ,5,1,1,0,0,38,72,-3,2,-2,3,0,鱗重ねの工夫,1,回避性能,1,,,,,,
,ドシャグマアームα,6,2,0,0,0,48,74,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,気絶耐性,2,スタミナ急速回復,1,,
,ドシャグマアームβ,6,2,1,0,0,48,74,-3,2,-1,-1,4,毛皮の誘惑,1,闢獣の力,1,気絶耐性,1,スタミナ急速回復,1,,
,護雷顎竜アームα,6,1,0,0,0,48,74,-1,-1,2,-3,-2,護竜の脈動,1,雷顎竜の闘志,1,渾身,1,挑戦者,1,,
,護雷顎竜アームβ,6,2,2,0,0,48,74,-1,-1,2,-3,-2,護竜の守り,1,雷顎竜の闘志,1,渾身,1,,,,
,インゴットアームα,6,2,0,0,0,44,70,-2,0,3,-1,0,気絶耐性,2,逆恨み,1,,,,,,
,アジャラアームα,6,2,0,0,0,48,74,3,-3,1,-2,0,毛皮の昂揚,1,破壊王,1,ボマー,2,,,,
,アジャラアームβ,6,2,1,0,0,48,74,3,-3,1,-2,0,毛皮の誘惑,1,破壊王,1,ボマー,1,,,,
,ブランゴアームα,6,2,0,0,0,48,74,-4,1,0,4,0,毛皮の昂揚,1,雪獅子の闘志,1,逆襲,1,オトモへの采配,2,,
,ブランゴアームβ,6,2,2,0,0,48,74,-4,1,0,4,0,毛皮の誘惑,1,雪獅子の闘志,1,逆襲,1,,,,
,護闢獣アームα,6,1,1,1,0,48,74,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,火事場力,1,防御力ＤＯＷＮ耐性,2,,
,護闢獣アームβ,6,2,2,1,0,48,74,-3,2,-1,-2,2,護竜の守り,1,闢獣の力,1,火事場力,1,,,,
,護火竜アームα,6,2,0,0,0,48,74,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,弱点特効,1,威嚇,1,環境利用の知識,1
,護火竜アームβ,6,2,1,1,0,48,74,3,1,-2,1,-5,護竜の守り,1,火竜の力,1,弱点特効,1,,,,
,グラビドアームα,6,1,0,0,0,52,78,4,-3,1,0,-2,鱗張りの技法,1,鎧竜の守護,1,フルチャージ,2,ひるみ軽減,1,,
,グラビドアームβ,6,2,0,0,0,52,78,4,-3,1,0,-2,鱗重ねの工夫,1,鎧竜の守護,1,フルチャージ,2,,,,
,護兇爪竜アームα,6,0,0,0,0,48,74,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,連撃,2,精霊の加護,1,,
,護兇爪竜アームβ,6,2,1,0,0,48,74,-2,-3,-2,-2,4,護竜の守り,1,兇爪竜の力,1,連撃,1,精霊の加護,1,,
,レウスアームα,6,1,1,0,0,48,74,3,1,-2,1,-3,鱗張りの技法,1,火竜の力,1,体術,2,回避性能,1,,
,レウスアームβ,6,2,1,1,0,48,74,3,1,-2,1,-3,鱗重ねの工夫,1,火竜の力,1,体術,2,,,,
,シーウーアームα,6,2,1,0,0,48,74,1,1,1,-3,2,革細工の柔性,1,暗器蛸の力,1,耳栓,2,,,,
,シーウーアームβ,6,2,2,1,0,48,74,1,1,1,-3,2,革細工の滑性,1,暗器蛸の力,1,耳栓,1,,,,
,ドーベルアームα,7,3,0,0,0,56,72,-2,0,-1,-1,4,体術,1,スタミナ急速回復,2,,,,,,
,ダマスクアームα,7,3,1,0,0,56,72,4,-2,0,0,0,広域化,1,精霊の加護,1,,,,,,
,ダハディラアームα,7,0,0,0,0,60,76,-3,2,-1,2,-1,ヌシの誇り,1,凍峰竜の反逆,1,挑戦者,2,環境適応,1,,
,ダハディラアームβ,7,3,0,0,0,60,76,-3,2,-1,2,-1,ヌシの憤激,1,凍峰竜の反逆,1,挑戦者,1,環境適応,1,,
,レダゼルトアームα,7,2,0,0,0,60,76,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,力の解放,2,気絶耐性,1,,
,レダゼルトアームβ,7,3,0,0,0,60,76,0,-2,4,-3,0,ヌシの憤激,1,煌雷竜の力,1,力の解放,2,,,,
,トゥナムルアームα,7,2,1,0,0,60,76,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,フルチャージ,2,納刀術,1,,
,トゥナムルアームβ,7,3,1,1,0,60,76,-1,4,-3,0,0,ヌシの憤激,1,波衣竜の守護,1,フルチャージ,1,納刀術,1,,
,エグゾルスアームα,7,2,0,0,0,60,76,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,早食い,2,逆襲,2,,
,エグゾルスアームβ,7,3,1,0,0,60,76,5,-4,0,1,0,ヌシの憤激,1,獄焔蛸の反逆,1,早食い,2,逆襲,1,,
,ゴアアームα,7,2,1,0,0,60,76,-2,3,-1,2,-1,鱗張りの技法,1,黒蝕竜の力,1,回避性能,1,体術,2,,
