シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
,ホープグリーヴα,5,1,0,0,0,26,26,1,0,1,0,0,気絶耐性,2,,,,,,,,
,レザーパンツα,5,1,0,0,0,26,26,2,0,0,0,0,腹減り耐性,1,アイテム使用強化,1,,,,,,
,チェーンパンツα,5,1,1,0,0,26,26,0,2,0,0,0,回復速度,1,,,,,,,,
,ピラギルグリーヴα,5,0,0,0,0,32,32,-3,4,-3,1,1,革細工の柔性,1,水場・油泥適応,1,水耐性,2,,,,
,ピラギルグリーヴβ,5,2,0,0,0,32,32,-3,4,-3,1,1,革細工の滑性,1,水場・油泥適応,1,,,,,,
,ランゴグリーヴα,5,1,1,0,0,32,32,-2,1,1,1,2,甲虫の知らせ,1,環境利用の知識,1,麻痺耐性,1,,,,
,ランゴグリーヴβ,5,2,1,0,0,32,32,-2,1,1,1,2,甲虫の擬態,1,環境利用の知識,1,,,,,,
,クックグリーヴα,5,2,0,0,0,36,36,3,0,-2,-4,2,鱗張りの技法,1,体術,2,体力回復量ＵＰ,1,,,,
,クックグリーヴβ,5,2,1,0,0,36,36,3,0,-2,-4,2,鱗重ねの工夫,1,体術,1,体力回復量ＵＰ,1,,,,
,チャタグリーヴα,5,0,0,0,0,36,36,1,2,-3,-1,1,革細工の柔性,1,アイテム使用強化,1,弱点特効,1,,,,
,チャタグリーヴβ,5,1,0,0,0,36,36,1,2,-3,-1,1,革細工の滑性,1,弱点特効,1,,,,,,
,ゲリョスグリーヴα,5,0,0,0,0,36,36,-4,3,4,-1,1,革細工の柔性,1,逆恨み,1,ランナー,2,,,,
,ゲリョスグリーヴβ,5,1,0,0,0,36,36,-4,3,4,-1,1,革細工の滑性,1,逆恨み,1,ランナー,1,,,,
,ボーングリーヴα,5,1,1,0,0,32,32,2,0,2,0,2,気絶耐性,1,,,,,,,,
,アロイグリーヴα,5,1,0,0,0,32,32,-2,1,-2,-2,1,納刀術,1,ひるみ軽減,1,,,,,,
,トリスグリーヴα,5,1,0,0,0,36,36,2,-3,0,-1,0,鱗張りの技法,1,ひるみ軽減,1,回避距離ＵＰ,1,,,,
,トリスグリーヴβ,5,1,1,1,0,36,36,2,-3,0,-1,0,鱗重ねの工夫,1,ひるみ軽減,1,,,,,,
,ラバラグリーヴα,5,0,0,0,0,36,36,-3,3,0,0,3,甲虫の知らせ,1,回避性能,1,攻勢,1,,,,
,ラバラグリーヴβ,5,1,1,1,0,36,36,-3,3,0,0,3,甲虫の擬態,1,回避性能,1,,,,,,
,プポルグリーヴα,5,0,0,0,0,36,36,0,-3,0,0,1,革細工の柔性,1,広域化,2,耳栓,1,,,,
,プポルグリーヴβ,5,2,0,0,0,36,36,0,-3,0,0,1,革細工の滑性,1,広域化,2,,,,,,
,コンガグリーヴα,5,0,0,0,0,36,36,-3,1,1,-1,2,毛皮の昂揚,1,キノコ大好き,1,連撃,1,,,,
,コンガグリーヴβ,5,2,0,0,0,36,36,-3,1,1,-1,2,毛皮の誘惑,1,連撃,1,,,,,,
,バーラグリーヴα,5,1,1,0,0,38,38,-1,2,-3,1,1,鱗張りの技法,1,回避距離ＵＰ,1,地質学,1,,,,
,バーラグリーヴβ,5,1,1,1,0,38,38,-1,2,-3,1,1,鱗重ねの工夫,1,回避距離ＵＰ,1,,,,,,
,レイアグリーヴα,5,0,0,0,0,38,38,2,0,-2,0,-3,鱗張りの技法,1,攻勢,1,回復速度,2,,,,
,レイアグリーヴβ,5,1,0,0,0,38,38,2,0,-2,0,-3,鱗重ねの工夫,1,攻勢,1,回復速度,1,,,,
,スキュラグリーヴα,5,1,0,0,0,38,38,-2,2,-2,1,2,甲虫の知らせ,1,急襲,1,睡眠耐性,1,,,,
,スキュラグリーヴβ,5,2,1,0,0,38,38,-2,2,-2,1,2,甲虫の擬態,1,睡眠耐性,1,,,,,,
,ヒラバミグリーヴα,5,1,0,0,0,38,38,-3,2,-2,3,0,鱗張りの技法,1,氷耐性,1,フルチャージ,1,,,,
,ヒラバミグリーヴβ,5,2,0,0,0,38,38,-3,2,-2,3,0,鱗重ねの工夫,1,フルチャージ,1,,,,,,
,ドシャグマグリーヴα,6,2,1,0,0,48,48,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,満足感,1,体力回復量ＵＰ,2,,
,ドシャグマグリーヴβ,6,2,1,1,0,48,48,-3,2,-1,-1,4,毛皮の誘惑,1,闢獣の力,1,満足感,1,体力回復量ＵＰ,1,,
,護雷顎竜グリーヴα,6,1,0,0,0,48,48,-1,-1,2,-3,-2,護竜の脈動,1,雷顎竜の闘志,1,災禍転福,1,スタミナ急速回復,2,,
,護雷顎竜グリーヴβ,6,2,1,0,0,48,48,-1,-1,2,-3,-2,護竜の守り,1,雷顎竜の闘志,1,災禍転福,1,スタミナ急速回復,1,,
,インゴットグリーヴα,6,2,0,0,0,44,44,-2,0,3,-1,0,風圧耐性,1,逆恨み,1,,,,,,
,アジャラグリーヴα,6,0,0,0,0,48,48,3,-3,1,-2,0,毛皮の昂揚,1,破壊王,2,逆恨み,1,,,,
,アジャラグリーヴβ,6,1,1,0,0,48,48,3,-3,1,-2,0,毛皮の誘惑,1,破壊王,2,,,,,,
,ブランゴグリーヴα,6,1,1,0,0,48,48,-4,1,0,4,0,毛皮の昂揚,1,雪獅子の闘志,1,挑戦者,1,逆襲,1,,
,ブランゴグリーヴβ,6,2,2,0,0,48,48,-4,1,0,4,0,毛皮の誘惑,1,雪獅子の闘志,1,挑戦者,1,,,,
,護闢獣グリーヴα,6,2,0,0,0,48,48,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,火事場力,1,体術,2,,
,護闢獣グリーヴβ,6,2,1,0,0,48,48,-3,2,-1,-2,2,護竜の守り,1,闢獣の力,1,火事場力,1,体術,1,,
,護火竜グリーヴα,6,1,0,0,0,48,48,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,弱点特効,1,風圧耐性,2,,
,護火竜グリーヴβ,6,2,0,0,0,48,48,3,1,-2,1,-5,護竜の守り,1,火竜の力,1,弱点特効,1,風圧耐性,1,,
,グラビドグリーヴα,6,2,1,0,0,52,52,4,-3,1,0,-2,鱗張りの技法,1,鎧竜の守護,1,耐震,2,回復速度,1,,
,グラビドグリーヴβ,6,2,2,0,0,52,52,4,-3,1,0,-2,鱗重ねの工夫,1,鎧竜の守護,1,耐震,1,回復速度,1,,
,護兇爪竜グリーヴα,6,2,0,0,0,48,48,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,耳栓,1,精霊の加護,2,,
,護兇爪竜グリーヴβ,6,2,1,0,0,48,48,-2,-3,-2,-2,4,護竜の守り,1,兇爪竜の力,1,耳栓,1,精霊の加護,1,,
,レウスグリーヴα,6,2,0,0,0,48,48,3,1,-2,1,-3,鱗張りの技法,1,火竜の力,1,回避性能,2,巧撃,1,,
