名前,発動スキル1,発動スキル2,上限1,上限2,カテゴリ
アイテム使用強化,,,3,0,アイテム
悪臭耐性,,,2,0,アイテム
キノコ大好き,,,3,0,アイテム
広域化,,,5,0,アイテム
整備,,,5,0,アイテム
閃光強化,,,1,0,アイテム
砥石使用高速化,,,2,0,アイテム
ボマー,,,3,0,アイテム
満足感,,,3,0,アイテム
スタミナ急速回復,,,3,0,スタミナ
体術,,,5,0,スタミナ
腹減り耐性,,,3,0,スタミナ
ランナー,,,3,0,スタミナ
回復速度,,,3,0,体力
環境利用の知識,,,3,0,体力
体力回復量ＵＰ,,,3,0,体力
会心撃【属性】,,,3,0,属性強化
会心撃【特殊】,,,3,0,属性強化
雷属性攻撃強化,,,3,0,属性強化
氷属性攻撃強化,,,3,0,属性強化
睡眠属性強化,,,3,0,属性強化
チャージマスター,,,3,0,属性強化
毒属性強化,,,3,0,属性強化
爆破属性強化,,,3,0,属性強化
火属性攻撃強化,,,3,0,属性強化
麻痺属性強化,,,3,0,属性強化
水属性攻撃強化,,,3,0,属性強化
龍属性攻撃強化,,,3,0,属性強化
貫通弾・竜の矢強化,,,1,0,弾・矢強化
減気ビン追加,,,1,0,弾・矢強化
散弾・剛射強化,,,1,0,弾・矢強化
睡眠ビン追加,,,1,0,弾・矢強化
速射強化,,,1,0,弾・矢強化
弾道強化,,,3,0,弾・矢強化
通常弾・通常矢強化,,,1,0,弾・矢強化
特殊射撃強化,,,2,0,弾・矢強化
毒ビン追加,,,1,0,弾・矢強化
爆破ビン追加,,,1,0,弾・矢強化
ファーストショット,,,3,0,弾・矢強化
フォースショット,,,3,0,弾・矢強化
麻痺ビン追加,,,1,0,弾・矢強化
威嚇,,,3,0,戦闘（快適）
ガード強化,,,3,0,戦闘（快適）
ガード性能,,,3,0,戦闘（快適）
回避距離ＵＰ,,,3,0,戦闘（快適）
回避性能,,,5,0,戦闘（快適）
緩衝,,,1,0,戦闘（快適）
クライマー,,,1,0,戦闘（快適）
ジャンプ鉄人,,,1,0,戦闘（快適）
耐震,,,3,0,戦闘（快適）
飛び込み,,,1,0,戦闘（快適）
納刀術,,,3,0,戦闘（快適）
早食い,,,3,0,戦闘（快適）
ひるみ軽減,,,3,0,戦闘（快適）
風圧耐性,,,3,0,戦闘（快適）
砲弾装填,,,2,0,戦闘（快適）
水場・油泥適応,,,2,0,戦闘（快適）
耳栓,,,3,0,戦闘（快適）
昆虫標本の達人,,,1,0,採集
植生学,,,4,0,採集
地質学,,,3,0,採集
ハンター生活,,,1,0,採集
剛刃研磨,,,3,0,斬れ味
心眼,,,3,0,斬れ味
