シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
,ホープコイルα,5,1,0,0,0,26,26,1,0,1,0,0,精霊の加護,1,気絶耐性,1,,,,,,
,レザーベルトα,5,1,1,0,0,26,26,2,0,0,0,0,腹減り耐性,1,,,,,,,,
,チェーンベルトα,5,1,0,0,0,26,26,0,2,0,0,0,回復速度,1,氷耐性,1,,,,,,
,ランゴコイルα,5,1,0,0,0,32,32,-2,1,1,1,2,甲虫の知らせ,1,麻痺耐性,1,回避性能,1,,,,
,ランゴコイルβ,5,1,1,1,0,32,32,-2,1,1,1,2,甲虫の擬態,1,麻痺耐性,1,,,,,,
,クックコイルα,5,0,0,0,0,36,36,3,0,-2,-4,2,鱗張りの技法,1,挑戦者,1,体力回復量ＵＰ,2,,,,
,クックコイルβ,5,1,0,0,0,36,36,3,0,-2,-4,2,鱗重ねの工夫,1,挑戦者,1,体力回復量ＵＰ,1,,,,
,チャタコイルα,5,1,0,0,0,36,36,1,2,-3,-1,1,革細工の柔性,1,早食い,1,アイテム使用強化,1,,,,
,チャタコイルβ,5,1,1,0,0,36,36,1,2,-3,-1,1,革細工の滑性,1,早食い,1,,,,,,
,ゲリョスコイルα,5,1,0,0,0,36,36,-4,3,4,-1,1,革細工の柔性,1,スタミナ急速回復,1,逆恨み,1,,,,
,ゲリョスコイルβ,5,2,1,0,0,36,36,-4,3,4,-1,1,革細工の滑性,1,スタミナ急速回復,1,,,,,,
,ボーンコイルα,5,1,1,0,0,32,32,2,0,2,0,2,ランナー,1,,,,,,,,
,アロイコイルα,5,1,0,0,0,32,32,-2,1,-2,-2,1,耐震,1,納刀術,1,,,,,,
,トリスコイルα,5,0,0,0,0,36,36,2,-3,0,-1,0,鱗張りの技法,1,火耐性,1,力の解放,1,,,,
,トリスコイルβ,5,2,0,0,0,36,36,2,-3,0,-1,0,鱗重ねの工夫,1,火耐性,2,,,,,,
,ラバラコイルα,5,2,0,0,0,36,36,-3,3,0,0,3,甲虫の知らせ,1,麻痺耐性,2,,,,,,
,ラバラコイルβ,5,2,1,0,0,36,36,-3,3,0,0,3,甲虫の擬態,1,麻痺耐性,1,,,,,,
,プポルコイルα,5,0,0,0,0,36,36,0,-3,0,0,1,革細工の柔性,1,広域化,1,攻勢,1,,,,
,プポルコイルβ,5,1,0,0,0,36,36,0,-3,0,0,1,革細工の滑性,1,攻勢,1,,,,,,
,コンガコイルα,5,1,0,0,0,36,36,-3,1,1,-1,2,毛皮の昂揚,1,キノコ大好き,1,満足感,1,,,,
,コンガコイルβ,5,2,0,0,0,36,36,-3,1,1,-1,2,毛皮の誘惑,1,キノコ大好き,1,,,,,,
,バーラコイルα,5,0,0,0,0,38,38,-1,2,-3,1,1,鱗張りの技法,1,回避距離ＵＰ,1,回避性能,1,,,,
,バーラコイルβ,5,1,1,0,0,38,38,-1,2,-3,1,1,鱗重ねの工夫,1,回避性能,1,,,,,,
,レイアコイルα,5,0,0,0,0,38,38,2,0,-2,0,-3,鱗張りの技法,1,攻勢,1,整備,1,,,,
,レイアコイルβ,5,2,0,0,0,38,38,2,0,-2,0,-3,鱗重ねの工夫,1,攻勢,1,,,,,,
,スキュラコイルα,5,0,0,0,0,38,38,-2,2,-2,1,2,甲虫の知らせ,1,拘束耐性,1,睡眠耐性,2,,,,
,スキュラコイルβ,5,1,1,0,0,38,38,-2,2,-2,1,2,甲虫の擬態,1,拘束耐性,1,,,,,,
,ヒラバミコイルα,5,0,0,0,0,38,38,-3,2,-2,3,0,鱗張りの技法,1,回避性能,2,,,,,,
,ヒラバミコイルβ,5,2,0,0,0,38,38,-3,2,-2,3,0,鱗重ねの工夫,1,回避性能,1,,,,,,
,ドシャグマコイルα,6,1,0,0,0,48,48,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,力の解放,2,,,,
,ドシャグマコイルβ,6,2,2,0,0,48,48,-3,2,-1,-1,4,毛皮の誘惑,1,闢獣の力,1,力の解放,1,,,,
,護雷顎竜コイルα,6,1,1,0,0,48,48,-1,-1,2,-3,-2,護竜の脈動,1,雷顎竜の闘志,1,スタミナ急速回復,1,渾身,1,,
,護雷顎竜コイルβ,6,2,2,0,0,48,48,-1,-1,2,-3,-2,護竜の守り,1,雷顎竜の闘志,1,スタミナ急速回復,1,,,,
,インゴットコイルα,6,1,1,1,0,44,44,-2,0,3,-1,0,精霊の加護,1,逆恨み,1,,,,,,
,護竜セクレトコイルα,6,1,0,0,0,44,44,0,0,4,0,-3,護竜の脈動,1,ジャンプ鉄人,1,耳栓,2,,,,
,護竜セクレトコイルβ,6,2,1,0,0,44,44,0,0,4,0,-3,護竜の守り,1,ジャンプ鉄人,1,耳栓,1,,,,
,アジャラコイルα,6,1,0,0,0,48,48,3,-3,1,-2,0,毛皮の昂揚,1,破壊王,2,爆破やられ耐性,2,,,,
,アジャラコイルβ,6,2,0,0,0,48,48,3,-3,1,-2,0,毛皮の誘惑,1,破壊王,2,爆破やられ耐性,1,,,,
,ブランゴコイルα,6,1,0,0,0,48,48,-4,1,0,4,0,毛皮の昂揚,1,雪獅子の闘志,1,挑戦者,2,広域化,1,,
,ブランゴコイルβ,6,1,1,0,0,48,48,-4,1,0,4,0,毛皮の誘惑,1,雪獅子の闘志,1,挑戦者,2,,,,
,護闢獣コイルα,6,2,0,0,0,48,48,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,火事場力,2,腹減り耐性,1,,
,護闢獣コイルβ,6,2,1,0,0,48,48,-3,2,-1,-2,2,護竜の守り,1,闢獣の力,1,火事場力,2,,,,
,護火竜コイルα,6,1,1,0,0,48,48,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,弱点特効,1,風圧耐性,1,,
,護火竜コイルβ,6,2,2,1,0,48,48,3,1,-2,1,-5,護竜の守り,1,火竜の力,1,風圧耐性,1,,,,
,グラビドコイルα,6,2,0,0,0,52,52,4,-3,1,0,-2,鱗張りの技法,1,鎧竜の守護,1,フルチャージ,1,ひるみ軽減,2,,
,グラビドコイルβ,6,2,1,0,0,52,52,4,-3,1,0,-2,鱗重ねの工夫,1,鎧竜の守護,1,フルチャージ,1,ひるみ軽減,1,,
,護兇爪竜コイルα,6,2,0,0,0,48,48,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,連撃,1,裂傷耐性,1,,
,護兇爪竜コイルβ,6,2,1,0,0,48,48,-2,-3,-2,-2,4,護竜の守り,1,兇爪竜の力,1,連撃,1,,,,
,レウスコイルα,6,0,0,0,0,48,48,3,1,-2,1,-3,鱗張りの技法,1,火竜の力,1,巧撃,2,回避性能,1,,
,レウスコイルβ,6,2,0,0,0,48,48,3,1,-2,1,-3,鱗重ねの工夫,1,火竜の力,1,巧撃,2,,,,
,シーウーコイルα,6,2,0,0,0,48,48,1,1,1,-3,2,革細工の柔性,1,暗器蛸の力,1,耳栓,1,火事場力,2,,
,シーウーコイルβ,6,2,1,1,0,48,48,1,1,1,-3,2,革細工の滑性,1,暗器蛸の力,1,耳栓,1,火事場力,1,,
,ドーベルコイルα,7,3,1,0,0,56,56,-2,0,-1,-1,4,体術,1,ランナー,2,,,,,,
,ダマスクコイルα,7,3,2,0,0,56,56,4,-2,0,0,0,広域化,1,体力回復量ＵＰ,1,,,,,,
,ダハディラコイルα,7,1,1,0,0,60,60,-3,2,-1,2,-1,ヌシの誇り,1,凍峰竜の反逆,1,弱点特効,1,耐震,2,,
,ダハディラコイルβ,7,1,1,1,0,60,60,-3,2,-1,2,-1,ヌシの憤激,1,凍峰竜の反逆,1,弱点特効,1,耐震,1,,
,レダゼルトコイルα,7,2,0,0,0,60,60,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,スタミナ急速回復,2,気絶耐性,2,,
,レダゼルトコイルβ,7,3,1,0,0,60,60,0,-2,4,-3,0,ヌシの憤激,1,煌雷竜の力,1,スタミナ急速回復,1,気絶耐性,2,,
,トゥナムルコイルα,7,2,1,0,0,60,60,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,フルチャージ,2,水場・油泥適応,1,,
,トゥナムルコイルβ,7,3,1,0,0,60,60,-1,4,-3,0,0,ヌシの憤激,1,波衣竜の守護,1,フルチャージ,2,,,,
,エグゾルスコイルα,7,2,0,0,0,60,60,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,逆恨み,2,早食い,1,,
,エグゾルスコイルβ,7,3,0,0,0,60,60,5,-4,0,1,0,ヌシの憤激,1,獄焔蛸の反逆,1,逆恨み,2,,,,
