シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
レザー,レザーパンツ,1,0,0,0,1,2,38,2,0,0,0,0,,,,,,,,,,
チェーン,チェーンパンツ,1,0,0,0,1,2,38,0,2,0,0,0,,,,,,,,,,
ハンター,ハンターグリーヴ,1,0,0,0,1,6,42,2,2,0,0,0,肉焼き名人,1,,,,,,,,
ボーン,ボーングリーヴ,1,0,0,0,1,6,42,2,0,2,0,2,昆虫標本の達人,1,,,,,,,,
ランゴ,ランゴグリーヴ,1,0,0,0,3,8,44,-2,1,1,1,2,ハニーハンター,1,,,,,,,,
ガライー,ガライーブーツ,1,0,0,0,3,12,48,0,5,0,0,0,水場・深雪適応,1,,,,,,,,
ジャグラス,ジャグラスグリーヴ,1,0,0,0,2,8,44,-2,2,-1,-1,1,しゃがみ移動速度ＵＰ,1,,,,,,,,
クルル,クルルグリーヴ,1,0,0,0,2,10,46,0,-3,0,1,0,見切り,1,,,,,,,,
アロイ,アロイグリーヴ,2,0,0,0,3,8,40,-2,1,-2,-2,1,砥石使用高速化,1,,,,,,,,
プケプケ,プケプケグリーヴ,2,0,0,0,3,12,44,0,3,-3,0,1,植生学,1,,,,,,,,
ボロス,ボロスグリーヴ,2,0,0,0,3,14,38,-3,-1,3,-1,0,気絶耐性,1,,,,,,,,
ジュラ,ジュラグリーヴ,2,0,0,0,3,14,46,-1,2,-3,0,0,集中,1,,,,,,,,
カガチ,カガチグリーヴ,2,0,0,0,4,16,48,0,-3,3,0,0,雷耐性,1,,,,,,,,
ハイメタ,ハイメタグリーヴ,3,0,0,0,6,18,46,0,-1,-2,3,0,砲撃手,1,,,,,,,,
オウビート,オウビートガンバ,3,0,0,0,8,22,50,-1,-1,2,0,2,探索者の幸運,1,,,,,,,,
