シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
,ホープメイルα,5,1,1,0,0,26,26,1,0,1,0,0,毒耐性,1,,,,,,,,
,レザーベストα,5,1,0,0,0,26,26,2,0,0,0,0,植生学,1,アイテム使用強化,1,,,,,,
,チェーンベストα,5,1,0,0,0,26,26,0,2,0,0,0,地質学,1,氷耐性,1,,,,,,
,ランゴメイルα,5,1,0,0,0,32,32,-2,1,1,1,2,甲虫の知らせ,1,環境利用の知識,1,回避性能,1,,,,
,ランゴメイルβ,5,1,1,1,0,32,32,-2,1,1,1,2,甲虫の擬態,1,環境利用の知識,1,,,,,,
,クラノダスメイルα,5,0,0,0,0,32,32,4,-2,0,-2,0,鱗張りの技法,1,ひるみ軽減,2,破壊王,1,,,,
,クラノダスメイルβ,5,2,0,0,0,32,32,4,-2,0,-2,0,鱗重ねの工夫,1,ひるみ軽減,2,,,,,,
,クックメイルα,5,1,0,0,0,36,36,3,0,-2,-4,2,鱗張りの技法,1,挑戦者,1,火耐性,1,,,,
,クックメイルβ,5,2,0,0,0,36,36,3,0,-2,-4,2,鱗重ねの工夫,1,挑戦者,1,,,,,,
,チャタメイルα,5,0,0,0,0,36,36,1,2,-3,-1,1,革細工の柔性,1,早食い,1,弱点特効,1,,,,
,チャタメイルβ,5,1,1,1,0,36,36,1,2,-3,-1,1,革細工の滑性,1,早食い,1,,,,,,
,ゲリョスメイルα,5,1,0,0,0,36,36,-4,3,4,-1,1,革細工の柔性,1,スタミナ急速回復,1,毒耐性,1,,,,
,ゲリョスメイルβ,5,2,0,0,0,36,36,-4,3,4,-1,1,革細工の滑性,1,スタミナ急速回復,1,,,,,,
,ボーンメイルα,5,1,0,0,0,32,32,2,0,2,0,2,ランナー,1,気絶耐性,1,,,,,,
,アロイメイルα,5,1,0,0,0,32,32,-2,1,-2,-2,1,ひるみ軽減,2,,,,,,,,
,トリスメイルα,5,0,0,0,0,36,36,2,-3,0,-1,0,鱗張りの技法,1,火耐性,1,力の解放,1,,,,
,トリスメイルβ,5,1,0,0,0,36,36,2,-3,0,-1,0,鱗重ねの工夫,1,力の解放,1,,,,,,
,ラバラメイルα,5,0,0,0,0,36,36,-3,3,0,0,3,甲虫の知らせ,1,体力回復量ＵＰ,2,回避性能,1,,,,
,ラバラメイルβ,5,1,0,0,0,36,36,-3,3,0,0,3,甲虫の擬態,1,体力回復量ＵＰ,1,回避性能,1,,,,
,プポルメイルα,5,1,0,0,0,36,36,0,-3,0,0,1,革細工の柔性,1,毒耐性,2,広域化,1,,,,
