名前,レア度,スロットサイズ,スロットタイプ,入手時期,スキル系統1,スキル値1,スキル系統2,スキル値2
防音珠【３】,6,3,2,13,耳栓,1,,
毒瓶珠【３】,6,3,2,13,毒ビン追加,1,,
痺瓶珠【３】,7,3,2,13,麻痺ビン追加,1,,
眠瓶珠【３】,7,3,2,13,睡眠ビン追加,1,,
爆瓶珠【３】,7,3,2,13,爆破ビン追加,1,,
解放珠【３】,8,3,2,13,属性解放／装填拡張,1,,
匠珠【３】,8,3,2,13,匠,1,,
耐衝珠【３】,6,3,2,13,ひるみ軽減,1,,
強弾珠【３】,7,3,2,13,通常弾・通常矢強化,1,,
貫通珠【３】,8,3,2,13,貫通弾・竜の一矢強化,1,,
散弾珠【３】,8,3,2,13,散弾・剛射強化,1,,
龍封珠【３】,7,3,2,13,龍封力強化,1,,
防風珠【２】,6,2,2,13,風圧耐性,1,,
耐震珠【２】,6,2,2,13,耐震,1,,
超心珠【２】,8,2,2,13,超会心,1,,
痛撃珠【２】,6,2,2,13,弱点特効,1,,
短縮珠【２】,8,2,2,13,集中,1,,
抜刀珠【２】,8,2,2,13,抜刀術【技】,1,,
重撃珠【２】,6,2,2,13,破壊王,1,,
ＫＯ珠【２】,6,2,2,13,ＫＯ術,1,,
飛燕珠【２】,5,2,2,13,飛燕,1,,
全開珠【２】,7,2,2,13,力の解放,1,,
挑戦珠【２】,7,2,2,13,挑戦者,1,,
無傷珠【２】,6,2,2,13,フルチャージ,1,,
底力珠【２】,7,2,2,13,火事場力,1,,
逆上珠【２】,7,2,2,13,逆恨み,1,,
増弾珠【２】,7,2,2,13,砲弾装填数ＵＰ,1,,
強走珠【２】,8,2,2,13,ランナー,1,,
体術珠【２】,6,2,2,13,体術,1,,
早気珠【２】,7,2,2,13,スタミナ急速回復,1,,
回避珠【２】,6,2,2,13,回避性能,1,,
跳躍珠【２】,6,2,2,13,回避距離ＵＰ,1,,
渾身珠【２】,7,2,2,13,渾身,1,,
滑走珠【２】,6,2,2,13,滑走強化,1,,
昂揚珠【２】,7,2,2,13,強化持続,1,,
強弓珠【２】,8,2,2,13,弓溜め段階解放,1,,
剛刃珠【２】,7,2,2,13,剛刃研磨,1,,
心眼珠【２】,8,2,2,13,心眼／弾導強化,1,,
強壁珠【２】,7,2,2,13,ガード強化,1,,
無撃珠【２】,6,2,2,13,無属性強化,1,,
