シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
,ホープマスクα,5,1,0,0,0,26,60,1,0,1,0,0,精霊の加護,2,,,,,,,,
,レザーヘッドα,5,1,0,0,0,26,60,2,0,0,0,0,植生学,2,,,,,,,,
,チェーンヘッドα,5,1,1,0,0,26,60,0,2,0,0,0,地質学,1,,,,,,,,
,ブラチカグラスα,5,0,0,0,0,32,66,-4,1,1,-2,4,甲虫の知らせ,1,昆虫標本の達人,1,弱点特効,1,,,,
,ブラチカグラスβ,5,2,1,0,0,32,66,-4,1,1,-2,4,甲虫の擬態,1,昆虫標本の達人,1,,,,,,
,ランゴヘルムα,5,0,0,0,0,32,66,-2,1,1,1,2,甲虫の知らせ,1,環境利用の知識,1,急襲,1,,,,
,ランゴヘルムβ,5,2,0,0,0,32,66,-2,1,1,1,2,甲虫の擬態,1,環境利用の知識,1,,,,,,
,ネラチカアクセサリα,5,0,0,0,0,32,66,-5,0,0,3,3,甲虫の知らせ,1,睡眠耐性,2,攻勢,1,,,,
,ネラチカアクセサリβ,5,2,1,0,0,32,66,-5,0,0,3,3,甲虫の擬態,1,睡眠耐性,2,,,,,,
,クックヘルムα,5,1,0,0,0,36,70,3,0,-2,-4,2,鱗張りの技法,1,体術,2,火耐性,2,,,,
,クックヘルムβ,5,2,1,0,0,36,70,3,0,-2,-4,2,鱗重ねの工夫,1,体術,2,,,,,,
,チャタヘルムα,5,1,0,0,0,36,70,1,2,-3,-1,1,革細工の柔性,1,早食い,1,広域化,1,,,,
,チャタヘルムβ,5,2,0,0,0,36,70,1,2,-3,-1,1,革細工の滑性,1,早食い,1,,,,,,
,ゲリョスヘルムα,5,1,0,0,0,36,70,-4,3,4,-1,1,革細工の柔性,1,スタミナ急速回復,1,閃光強化,1,,,,
,ゲリョスヘルムβ,5,1,1,0,0,36,70,-4,3,4,-1,1,革細工の滑性,1,スタミナ急速回復,1,,,,,,
,ボーンヘルムα,5,1,0,0,0,32,66,2,0,2,0,2,気絶耐性,1,早食い,1,,,,,,
,アロイヘルムα,5,1,1,0,0,32,66,-2,1,-2,-2,1,納刀術,1,,,,,,,,
,トリスヘルムα,5,1,0,0,0,36,70,2,-3,0,-1,0,鱗張りの技法,1,ひるみ軽減,1,力の解放,1,,,,
,トリスヘルムβ,5,2,0,0,0,36,70,2,-3,0,-1,0,鱗重ねの工夫,1,力の解放,1,,,,,,
,ラバラヘルムα,5,0,0,0,0,36,70,-3,3,0,0,3,甲虫の知らせ,1,麻痺耐性,1,攻勢,1,,,,
,ラバラヘルムβ,5,1,0,0,0,36,70,-3,3,0,0,3,甲虫の擬態,1,攻勢,1,,,,,,
,プポルヘルムα,5,1,1,0,0,36,70,0,-3,0,0,1,革細工の柔性,1,広域化,2,,,,,,
,プポルヘルムβ,5,2,1,0,0,36,70,0,-3,0,0,1,革細工の滑性,1,広域化,1,,,,,,
,コンガヘルムα,5,1,0,0,0,36,70,-3,1,1,-1,2,毛皮の昂揚,1,威嚇,1,満足感,1,,,,
,コンガヘルムβ,5,2,0,0,0,36,70,-3,1,1,-1,2,毛皮の誘惑,1,威嚇,1,,,,,,
,バーラヘルムα,5,1,0,0,0,38,72,-1,2,-3,1,1,鱗張りの技法,1,地質学,1,回避性能,1,,,,
,バーラヘルムβ,5,2,0,0,0,38,72,-1,2,-3,1,1,鱗重ねの工夫,1,回避性能,1,,,,,,
,レイアヘルムα,5,2,0,0,0,38,72,2,0,-2,0,-3,鱗張りの技法,1,精霊の加護,1,回復速度,1,,,,
,レイアヘルムβ,5,2,1,0,0,38,72,2,0,-2,0,-3,鱗重ねの工夫,1,精霊の加護,1,,,,,,
,スキュラヘルムα,5,0,0,0,0,38,72,-2,2,-2,1,2,甲虫の知らせ,1,拘束耐性,1,毒耐性,2,,,,
,スキュラヘルムβ,5,2,0,0,0,38,72,-2,2,-2,1,2,甲虫の擬態,1,拘束耐性,1,,,,,,
,ヒラバミヘルムα,5,0,0,0,0,38,72,-3,2,-2,3,0,鱗張りの技法,1,回避性能,1,回避距離ＵＰ,1,,,,
