シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
,ホープグリーヴα,5,1,0,0,0,26,60,1,0,1,0,0,気絶耐性,2,,,,,,,,
,レザーパンツα,5,1,0,0,0,26,60,2,0,0,0,0,腹減り耐性,1,アイテム使用強化,1,,,,,,
,チェーンパンツα,5,1,1,0,0,26,60,0,2,0,0,0,回復速度,1,,,,,,,,
,ピラギルグリーヴα,5,0,0,0,0,32,66,-3,4,-3,1,1,革細工の柔性,1,水場・油泥適応,1,水耐性,2,,,,
,ピラギルグリーヴβ,5,2,0,0,0,32,66,-3,4,-3,1,1,革細工の滑性,1,水場・油泥適応,1,,,,,,
,ランゴグリーヴα,5,1,1,0,0,32,66,-2,1,1,1,2,甲虫の知らせ,1,環境利用の知識,1,麻痺耐性,1,,,,
,ランゴグリーヴβ,5,2,1,0,0,32,66,-2,1,1,1,2,甲虫の擬態,1,環境利用の知識,1,,,,,,
,クックグリーヴα,5,2,0,0,0,36,70,3,0,-2,-4,2,鱗張りの技法,1,体術,2,体力回復量ＵＰ,1,,,,
,クックグリーヴβ,5,2,1,0,0,36,70,3,0,-2,-4,2,鱗重ねの工夫,1,体術,1,体力回復量ＵＰ,1,,,,
,チャタグリーヴα,5,0,0,0,0,36,70,1,2,-3,-1,1,革細工の柔性,1,アイテム使用強化,1,弱点特効,1,,,,
,チャタグリーヴβ,5,1,0,0,0,36,70,1,2,-3,-1,1,革細工の滑性,1,弱点特効,1,,,,,,
,ゲリョスグリーヴα,5,0,0,0,0,36,70,-4,3,4,-1,1,革細工の柔性,1,逆恨み,1,ランナー,2,,,,
,ゲリョスグリーヴβ,5,1,0,0,0,36,70,-4,3,4,-1,1,革細工の滑性,1,逆恨み,1,ランナー,1,,,,
,ボーングリーヴα,5,1,1,0,0,32,66,2,0,2,0,2,気絶耐性,1,,,,,,,,
,アロイグリーヴα,5,1,0,0,0,32,66,-2,1,-2,-2,1,納刀術,1,ひるみ軽減,1,,,,,,
,トリスグリーヴα,5,1,0,0,0,36,70,2,-3,0,-1,0,鱗張りの技法,1,ひるみ軽減,1,回避距離ＵＰ,1,,,,
,トリスグリーヴβ,5,1,1,1,0,36,70,2,-3,0,-1,0,鱗重ねの工夫,1,ひるみ軽減,1,,,,,,
,ラバラグリーヴα,5,0,0,0,0,36,70,-3,3,0,0,3,甲虫の知らせ,1,回避性能,1,攻勢,1,,,,
,ラバラグリーヴβ,5,1,1,1,0,36,70,-3,3,0,0,3,甲虫の擬態,1,回避性能,1,,,,,,
,プポルグリーヴα,5,0,0,0,0,36,70,0,-3,0,0,1,革細工の柔性,1,広域化,2,耳栓,1,,,,
