名前,レベル,固定,カテゴリ,発動スキル1,発動スキル2,上限1,上限2
アイテム使用強化,0,0,アイテム,,,3,0
悪臭耐性,0,0,アイテム,,,2,0
キノコ大好き,0,0,アイテム,,,3,0
広域化,0,0,アイテム,,,5,0
整備,0,0,アイテム,,,5,0
閃光強化,0,0,アイテム,,,1,0
砥石使用高速化,0,0,アイテム,,,2,0
ボマー,0,0,アイテム,,,3,0
満足感,0,0,アイテム,,,3,0
スタミナ急速回復,0,0,スタミナ,,,3,0
体術,0,0,スタミナ,,,5,0
腹減り耐性,0,0,スタミナ,,,3,0
ランナー,0,0,スタミナ,,,3,0
回復速度,0,0,体力,,,3,0
環境利用の知識,0,0,体力,,,3,0
体力回復量ＵＰ,0,0,体力,,,3,0
威嚇,0,0,戦闘（快適）,,,3,0
回避距離ＵＰ,0,0,戦闘（快適）,,,3,0
回避性能,0,0,戦闘（快適）,,,5,0
緩衝,0,0,戦闘（快適）,,,1,0
クライマー,0,0,戦闘（快適）,,,1,0
ジャンプ鉄人,0,0,戦闘（快適）,,,1,0
耐震,0,0,戦闘（快適）,,,3,0
飛び込み,0,0,戦闘（快適）,,,1,0
納刀術,0,0,戦闘（快適）,,,3,0
早食い,0,0,戦闘（快適）,,,3,0
ひるみ軽減,0,0,戦闘（快適）,,,3,0
風圧耐性,0,0,戦闘（快適）,,,3,0
水場・油泥適応,0,0,戦闘（快適）,,,2,0
耳栓,0,0,戦闘（快適）,,,3,0
昆虫標本の達人,0,0,採集,,,1,0
植生学,0,0,採集,,,4,0
地質学,0,0,採集,,,3,0
ハンター生活,0,0,採集,,,1,0
雷耐性,0,0,防御・耐性,,,3,0
環境適応,0,0,防御・耐性,,,2,0
気絶耐性,0,0,防御・耐性,,,3,0
拘束耐性,0,0,防御・耐性,,,3,0
氷耐性,0,0,防御・耐性,,,3,0
睡眠耐性,0,0,防御・耐性,,,3,0
精霊の加護,0,0,防御・耐性,,,3,0
属性やられ耐性,0,0,防御・耐性,,,3,0
毒耐性,0,0,防御・耐性,,,3,0
爆破やられ耐性,0,0,防御・耐性,,,3,0
火耐性,0,0,防御・耐性,,,3,0
防御,0,0,防御・耐性,,,7,0
防御力ＤＯＷＮ耐性,0,0,防御・耐性,,,3,0
麻痺耐性,0,0,防御・耐性,,,3,0
水耐性,0,0,防御・耐性,,,3,0
龍耐性,0,0,防御・耐性,,,3,0
裂傷耐性,0,0,防御・耐性,,,3,0
オトモへの采配,0,0,戦闘（攻撃）,,,5,0
火事場力,0,0,戦闘（攻撃）,,,5,0
逆襲,0,0,戦闘（攻撃）,,,3,0
急襲,0,0,戦闘（攻撃）,,,3,0
研鑽,0,0,戦闘（攻撃）,,,1,0
巧撃,0,0,戦闘（攻撃）,,,5,0
攻勢,0,0,戦闘（攻撃）,,,5,0
渾身,0,0,戦闘（攻撃）,,,3,0
災禍転福,0,0,戦闘（攻撃）,,,3,0
逆恨み,0,0,戦闘（攻撃）,,,5,0
鎖刃刺撃,0,0,戦闘（攻撃）,,,5,0
弱点特効,0,0,戦闘（攻撃）,,,5,0
属性吸収,0,0,戦闘（攻撃）,,,3,0
属性変換,0,0,戦闘（攻撃）,,,3,0
力の解放,0,0,戦闘（攻撃）,,,5,0
挑戦者,0,0,戦闘（攻撃）,,,5,0
フルチャージ,0,0,戦闘（攻撃）,,,5,0
無我の境地,0,0,戦闘（攻撃）,,,3,0
連撃,0,0,戦闘（攻撃）,,,5,0
鱗重ねの工夫,0,0,グループスキル,奮起,,3,0
鱗張りの技法,0,0,グループスキル,乗り名人,,3,0
革細工の滑性,0,0,グループスキル,滑走強化,,3,0
革細工の柔性,0,0,グループスキル,採集の達人,,3,0
毛皮の昂揚,0,0,グループスキル,不屈,,3,0
毛皮の誘惑,0,0,グループスキル,陽動,,3,0
甲虫の擬態,0,0,グループスキル,忍び歩き,,3,0
甲虫の知らせ,0,0,グループスキル,ハニーハンター,,3,0
護竜の守り,0,0,グループスキル,竜都の護り,,3,0
護竜の脈動,0,0,グループスキル,竜乳活性,,3,0
先達の導き,0,0,グループスキル,探索者の幸運,,3,0
ヌシの憤激,0,0,グループスキル,死中に活,,3,0
ヌシの誇り,0,0,グループスキル,激励,,3,0
栄光の誉れ,0,0,グループスキル,幸運,,3,0
祝祭の巡り,0,0,グループスキル,剥ぎ取り名人,,3,0
ヌシの魂,0,0,グループスキル,根性【果敢】,,3,0
暗器蛸の力,0,0,シリーズスキル,蛮勇の食卓Ⅰ,蛮勇の食卓Ⅰ,2,4
火竜の力,0,0,シリーズスキル,灼熱化Ⅰ,灼熱化Ⅰ,2,4
兇爪竜の力,0,0,シリーズスキル,連撃強化Ⅰ,連撃強化Ⅰ,2,4
煌雷竜の力,0,0,シリーズスキル,雷々響鳴Ⅰ,雷々響鳴Ⅰ,2,4
獄焔蛸の反逆,0,0,シリーズスキル,恨撃Ⅰ,恨撃Ⅰ,2,4
黒蝕竜の力,0,0,シリーズスキル,黒蝕一体Ⅰ,黒蝕一体Ⅰ,2,4
鎖刃竜の飢餓,0,0,シリーズスキル,加速再生Ⅰ,加速再生Ⅰ,2,4
護鎖刃竜の命脈,0,0,シリーズスキル,破壊衝動Ⅰ,破壊衝動Ⅰ,2,4
凍峰竜の反逆,0,0,シリーズスキル,束縛反攻Ⅰ,束縛反攻Ⅰ,2,4
波衣竜の守護,0,0,シリーズスキル,守護のヴェールⅠ,守護のヴェールⅠ,2,4
闢獣の力,0,0,シリーズスキル,力自慢Ⅰ,力自慢Ⅰ,2,4
雪獅子の闘志,0,0,シリーズスキル,ウォークライⅠ,ウォークライⅠ,2,4
鎧竜の守護,0,0,シリーズスキル,無傷の重装Ⅰ,無傷の重装Ⅰ,2,4
雷顎竜の闘志,0,0,シリーズスキル,無尽蔵Ⅰ,無尽蔵Ⅰ,2,4
泡狐竜の力,0,0,シリーズスキル,泡沫の舞Ⅰ,泡沫の舞Ⅱ,2,4
白熾龍の脈動,0,0,シリーズスキル,超回復Ⅰ,超回復Ⅱ,2,4
花舞の祈り,0,0,シリーズスキル,地の恵み【花舞】Ⅰ,地の恵み【花舞】Ⅱ,2,4
海竜の渦雷,0,0,シリーズスキル,蒼雷一閃Ⅰ,蒼雷一閃Ⅱ,2,4
千刃竜の闘志,0,0,シリーズスキル,千刃の身躱しⅠ,千刃の身躱しⅡ,2,4
踊火の祈り,0,0,シリーズスキル,地の恵み【踊火】Ⅰ,地の恵み【踊火】Ⅱ,2,4
会心撃【属性】,0,0,属性強化,,,3,0
会心撃【特殊】,0,0,属性強化,,,3,0
雷属性攻撃強化,0,0,属性強化,,,3,0
氷属性攻撃強化,0,0,属性強化,,,3,0
睡眠属性強化,0,0,属性強化,,,3,0
チャージマスター,0,0,属性強化,,,3,0
毒属性強化,0,0,属性強化,,,3,0
爆破属性強化,0,0,属性強化,,,3,0
火属性攻撃強化,0,0,属性強化,,,3,0
麻痺属性強化,0,0,属性強化,,,3,0
水属性攻撃強化,0,0,属性強化,,,3,0
龍属性攻撃強化,0,0,属性強化,,,3,0
貫通弾・竜の矢強化,0,0,弾・矢強化,,,1,0
減気ビン追加,0,0,弾・矢強化,,,1,0
散弾・剛射強化,0,0,弾・矢強化,,,1,0
睡眠ビン追加,0,0,弾・矢強化,,,1,0
速射強化,0,0,弾・矢強化,,,1,0
弾導強化,0,0,弾・矢強化,,,3,0
通常弾・通常矢強化,0,0,弾・矢強化,,,1,0
特殊射撃強化,0,0,弾・矢強化,,,2,0
毒ビン追加,0,0,弾・矢強化,,,1,0
爆破ビン追加,0,0,弾・矢強化,,,1,0
ファーストショット,0,0,弾・矢強化,,,3,0
フォースショット,0,0,弾・矢強化,,,3,0
麻痺ビン追加,0,0,弾・矢強化,,,1,0
剛刃研磨,0,0,斬れ味,,,3,0
心眼,0,0,斬れ味,,,3,0
匠,0,0,斬れ味,,,5,0
達人芸,0,0,斬れ味,,,1,0
鈍器使い,0,0,斬れ味,,,3,0
業物,0,0,斬れ味,,,3,0
ガード強化,0,0,武器スキル,,,3,0
ガード性能,0,0,武器スキル,,,3,0
砲弾装填,0,0,武器スキル,,,2,0
強化持続,0,0,武器スキル,,,3,0
ＫＯ術,0,0,武器スキル,,,3,0
攻撃,0,0,武器スキル,,,5,0
高速変形,0,0,武器スキル,,,3,0
集中,0,0,武器スキル,,,3,0
スタミナ奪取,0,0,武器スキル,,,3,0
攻めの守勢,0,0,武器スキル,,,3,0
溜打強化,0,0,武器スキル,,,1,0
超会心,0,0,武器スキル,,,5,0
毒ダメージ強化,0,0,武器スキル,,,1,0
破壊王,0,0,武器スキル,,,3,0
抜刀術【力】,0,0,武器スキル,,,3,0
抜刀術【技】,0,0,武器スキル,,,3,0
飛燕,0,0,武器スキル,,,1,0
笛吹き名人,0,0,武器スキル,,,2,0
砲術,0,0,武器スキル,,,3,0
見切り,0,0,武器スキル,,,5,0
濡れ波紋,0,0,武器スキル,,,3,0
白熾の奔流,0,0,武器スキル,,,1,0
耐性変換【雷】,0,0,武器スキル,,,1,0
刃鱗研装,0,0,武器スキル,,,1,0
刃鱗増装,0,0,武器スキル,,,1,0
焼き砲モロコシ,0,0,武器スキル,,,1,0
