名前,レベル,固定,カテゴリ
アイテム使用強化,0,0,アイテム
悪臭耐性,0,0,アイテム
キノコ大好き,0,0,アイテム
広域化,0,0,アイテム
整備,0,0,アイテム
閃光強化,0,0,アイテム
砥石使用高速化,0,0,アイテム
ボマー,0,0,アイテム
満足感,0,0,アイテム
スタミナ急速回復,0,0,スタミナ
体術,0,0,スタミナ
腹減り耐性,0,0,スタミナ
ランナー,0,0,スタミナ
回復速度,0,0,体力
環境利用の知識,0,0,体力
体力回復量ＵＰ,0,0,体力
威嚇,0,0,戦闘（快適）
回避距離ＵＰ,0,0,戦闘（快適）
回避性能,0,0,戦闘（快適）
緩衝,0,0,戦闘（快適）
クライマー,0,0,戦闘（快適）
ジャンプ鉄人,0,0,戦闘（快適）
耐震,0,0,戦闘（快適）
飛び込み,0,0,戦闘（快適）
納刀術,0,0,戦闘（快適）
早食い,0,0,戦闘（快適）
ひるみ軽減,0,0,戦闘（快適）
風圧耐性,0,0,戦闘（快適）
水場・油泥適応,0,0,戦闘（快適）
耳栓,0,0,戦闘（快適）
昆虫標本の達人,0,0,採集
植生学,0,0,採集
地質学,0,0,採集
ハンター生活,0,0,採集
雷耐性,0,0,防御・耐性
環境適応,0,0,防御・耐性
気絶耐性,0,0,防御・耐性
拘束耐性,0,0,防御・耐性
氷耐性,0,0,防御・耐性
睡眠耐性,0,0,防御・耐性
精霊の加護,0,0,防御・耐性
属性やられ耐性,0,0,防御・耐性
毒耐性,0,0,防御・耐性
爆破やられ耐性,0,0,防御・耐性
火耐性,0,0,防御・耐性
防御,0,0,防御・耐性
防御力ＤＯＷＮ耐性,0,0,防御・耐性
麻痺耐性,0,0,防御・耐性
水耐性,0,0,防御・耐性
龍耐性,0,0,防御・耐性
裂傷耐性,0,0,防御・耐性
オトモへの采配,0,0,戦闘（攻撃）
火事場力,0,0,戦闘（攻撃）
逆襲,0,0,戦闘（攻撃）
急襲,0,0,戦闘（攻撃）
研鑽,0,0,戦闘（攻撃）
巧撃,0,0,戦闘（攻撃）
攻勢,0,0,戦闘（攻撃）
渾身,0,0,戦闘（攻撃）
災禍転福,0,0,戦闘（攻撃）
逆恨み,0,0,戦闘（攻撃）
鎖刃刺撃,0,0,戦闘（攻撃）
弱点特効,0,0,戦闘（攻撃）
属性吸収,0,0,戦闘（攻撃）
属性変換,0,0,戦闘（攻撃）
力の解放,0,0,戦闘（攻撃）
挑戦者,0,0,戦闘（攻撃）
フルチャージ,0,0,戦闘（攻撃）
無我の境地,0,0,戦闘（攻撃）
連撃,0,0,戦闘（攻撃）
鱗重ねの工夫,0,0,グループスキル
鱗張りの技法,0,0,グループスキル
革細工の滑性,0,0,グループスキル
革細工の柔性,0,0,グループスキル
毛皮の昂揚,0,0,グループスキル
毛皮の誘惑,0,0,グループスキル
甲虫の擬態,0,0,グループスキル
甲虫の知らせ,0,0,グループスキル
護竜の守り,0,0,グループスキル
護竜の脈動,0,0,グループスキル
先達の導き,0,0,グループスキル
ヌシの憤激,0,0,グループスキル
ヌシの誇り,0,0,グループスキル
栄光の誉れ,0,0,グループスキル
祝祭の巡り,0,0,グループスキル
ヌシの魂,0,0,グループスキル
暗器蛸の力,0,0,シリーズスキル
火竜の力,0,0,シリーズスキル
兇爪竜の力,0,0,シリーズスキル
煌雷竜の力,0,0,シリーズスキル
獄焔蛸の反逆,0,0,シリーズスキル
黒蝕竜の力,0,0,シリーズスキル
鎖刃竜の飢餓,0,0,シリーズスキル
護鎖刃竜の命脈,0,0,シリーズスキル
凍峰竜の反逆,0,0,シリーズスキル
波衣竜の守護,0,0,シリーズスキル
闢獣の力,0,0,シリーズスキル
雪獅子の闘志,0,0,シリーズスキル
鎧竜の守護,0,0,シリーズスキル
雷顎竜の闘志,0,0,シリーズスキル
泡狐竜の力,0,0,シリーズスキル
白熾龍の脈動,0,0,シリーズスキル
花舞の祈り,0,0,シリーズスキル
海竜の渦雷,0,0,シリーズスキル
千刃竜の闘志,0,0,シリーズスキル
踊火の祈り,0,0,シリーズスキル
会心撃【属性】,0,0,属性強化
会心撃【特殊】,0,0,属性強化
雷属性攻撃強化,0,0,属性強化
氷属性攻撃強化,0,0,属性強化
睡眠属性強化,0,0,属性強化
チャージマスター,0,0,属性強化
毒属性強化,0,0,属性強化
爆破属性強化,0,0,属性強化
火属性攻撃強化,0,0,属性強化
麻痺属性強化,0,0,属性強化
水属性攻撃強化,0,0,属性強化
龍属性攻撃強化,0,0,属性強化
貫通弾・竜の矢強化,0,0,弾・矢強化
減気ビン追加,0,0,弾・矢強化
散弾・剛射強化,0,0,弾・矢強化
睡眠ビン追加,0,0,弾・矢強化
速射強化,0,0,弾・矢強化
弾導強化,0,0,弾・矢強化
通常弾・通常矢強化,0,0,弾・矢強化
特殊射撃強化,0,0,弾・矢強化
毒ビン追加,0,0,弾・矢強化
爆破ビン追加,0,0,弾・矢強化
ファーストショット,0,0,弾・矢強化
フォースショット,0,0,弾・矢強化
麻痺ビン追加,0,0,弾・矢強化
剛刃研磨,0,0,斬れ味
心眼,0,0,斬れ味
匠,0,0,斬れ味
達人芸,0,0,斬れ味
鈍器使い,0,0,斬れ味
業物,0,0,斬れ味
ガード強化,0,0,武器スキル
ガード性能,0,0,武器スキル
砲弾装填,0,0,武器スキル
強化持続,0,0,武器スキル
ＫＯ術,0,0,武器スキル
攻撃,0,0,武器スキル
高速変形,0,0,武器スキル
集中,0,0,武器スキル
スタミナ奪取,0,0,武器スキル
攻めの守勢,0,0,武器スキル
溜打強化,0,0,武器スキル
超会心,0,0,武器スキル
毒ダメージ強化,0,0,武器スキル
